site_id,n_obs,absolute_gravity,variance,stdev,stderr
AC6D,6,980165.3467729467,2.7709483735927046e-05,0.005263979838100356,0.002149010769940713
AC71,6,980267.1664120477,7.735518285775545e-06,0.0027812799725621916,0.0011354527940998947
Avalon_Base_Absolute,9,980267.9190000003,2.6144274429998107e-05,0.005113147213800724,0.0017043824046002413
Tuturumuri_FES_Absolute,6,980351.6240000001,2.6144274429998128e-05,0.005113147213800726,0.002087433608924211
