site_id,gravity
EQWC,980157.66
EQWD,980685.55
EQWE,980720.682
EQWF,980645.008
EQWG,980302.54
EQWH,980268.206
EQWJ,980779.112
EQWK,980458
EQWL,980612.109
EQWM,980685.734
EQWN,980268.974
EQWP,980720.319
EQWQ,980305.78
EQWR,980432.672
EQWT,980423.9
EQWU,980654.093
EQWV,980758.261
EQWW,980391.641
EQWX,980637.448
EQWY,980607.761
EQX0,980255.913
EQX1,980419.577
EQX2,980247.91
EQX3,980263.357
EQX4,980357.953
EQX5,980794.877
EQX6,980642.25
EQX7,980674.753
EQX8,980332
EQX9,980259.435
EQXA,980525.062
EQXB,980419.904
EQXC,980718.965
EQXD,980752.271
EQXE,980292.72
EQXF,980227.54
EQXG,980698.451
EQXH,980459.68
EQXJ,980383.2
EQXK,980273.1
EQXL,980274.85
EQXM,980610.11
EQXN,980359.81
EQXP,980382.6
EQXQ,980258.694
EQXR,980491.437
EQXT,980479.752
EQXU,980345.336
EQXV,980510.002
EQXW,980492.883
EQXX,980267.137
EQXY,980289.434
EQY0,980250.682
EQY1,980399.254
EQY2,980288.744
EQY3,980625.237
EQY4,980390.57
EQY5,980689.723
EQY6,980239.969
EQY7,980312.738
EQY8,980318.158
EQY9,980401.58
EQYA,980386.97
EQYB,980251.989
EQYC,980407.52
F6CD,980263.1
EQYD,980379.874
EQYE,980592.621
EQYF,980198.53
EQYG,980266.212
F6DJ,980247.175
EQYH,980371.53
EQYJ,980471.481
EQYK,980577.148
EQYL,980321.164
EQYM,980490.048
EQYN,980535.813
EQYP,980404.25
EQYQ,980775.72
EQYR,980790.923
EQYT,980558.465
EQYU,980299
EQYV,980787.89
EQYW,980794.211
EQYX,980341.974
F6DK,980213.751
EQYY,980491.878
ER00,980741.158
ER01,980363.692
ER05,980730.856
ER07,980413.366
ER08,980710.066
ER09,980620.11
ER0A,980749.262
ER0B,980285.811
ER0C,980290.72
ER0D,980393.51
F6F1,980294.18
F6CE,980237.11
ER0E,980256.97
ER0F,980391.688
ER0G,980750.83
EQTJ,979933.79
F6DL,979786.268
EQTK,980073.826
EQTL,980278.94
F6DM,979993.62
EQTM,979952.917
EQTN,979810.083
F6DN,979897.572
EQTP,980251.015
EQTQ,980063.852
EQTR,980494.398
F6F0,980494.5
EQTT,980727.532
EQTU,980397.32
EQTV,980363.43
EQTW,980637.451
EQTX,980255.728
F6CF,980489.317
EQTY,980261.121
F6DP,980267.657
F6DQ,980267.919
B7TM,979966.711
BUGN,979931.851
BVVX,979942.087
BUGM,979964.592
BE47,979956.132
EC1T,979942.041
BUGT,979941.399
A077,979772.107
A0G9,979798.212
A2EF,979810.405
A42C,979814.541
F6F3,979779.223
AAJH,979794.465
AAVL,979866.41
AB7P,979861.84
AB90,979865.997
ABHL,979876.417
ABLQ,979890.298
ABPW,979913.147
ABQW,979915.7
ACLU,979889.845
AHT1,979904.003
AHTC,979893.28
BCTW,979884.102
BCVV,979915.307
BCWU,979934.403
AC6D,980165.239
ACNN,979968.078
B3A2,980473.926
1127,980483.63
AAJB,980489.5
B9DV,980488.929
BDCE,979842.632
BUHP,979783.104
